img,age,readable
2006_02098sep1_t01a.jpg,13.0,2
2006_02098sep1_t01b.jpg,13.0,2
2006_02098sep1_t02a.jpg,12.0,2
2006_02098sep1_t02b.jpg,12.0,2
2006_02098sep2_t01a.jpg,7.0,2
2006_02098sep2_t01b.jpg,7.0,2
2006_02099sep1_t01a.jpg,10.0,2
2006_02099sep1_t01b.jpg,10.0,2
2006_02099sep2_t01a.jpg,10.0,2
2006_02099sep2_t01b.jpg,10.0,2
2006_02100sep1_t01a.jpg,10.0,2
2006_02100sep1_t01b.jpg,10.0,2
2006_02100sep1_t02a.jpg,11.0,2
2006_02100sep1_t02b.jpg,11.0,2
2006_02100sep2_t01a.jpg,8.0,2
2006_02100sep2_t01b.jpg,8.0,2
2006_02101sep1_t01a.jpg,13.0,2
2006_02101sep1_t01b.jpg,13.0,2
2006_02101sep1_t02a.jpg,10.0,2
2006_02101sep1_t02b.jpg,10.0,2
2006_02101sep1_t03a.jpg,10.0,2
2006_02101sep1_t03b.jpg,10.0,2
2006_02101sep1_t04a.jpg,10.0,2
2006_02101sep1_t04b.jpg,10.0,2
2006_02101sep1_t05a.jpg,8.0,2
2006_02101sep1_t05b.jpg,8.0,2
2006_02101sep1_t06a.jpg,9.0,2
2006_02101sep1_t06b.jpg,9.0,2
2006_02101sep1_t07.jpg,8.0,1
2006_02101sep1_t08a.jpg,11.0,2
2006_02101sep1_t08b.jpg,11.0,2
2006_02101sep1_t09a.jpg,8.0,2
2006_02101sep1_t09b.jpg,8.0,2
2006_02101sep2_t01a.jpg,12.0,2
2006_02101sep2_t01b.jpg,12.0,2
2006_02101sep2_t02a.jpg,13.0,2
2006_02101sep2_t02b.jpg,13.0,2
2006_02101sep2_t04a.jpg,12.0,2
2006_02101sep2_t04b.jpg,12.0,2
2006_02101sep2_t05a.jpg,10.0,2
2006_02101sep2_t05b.jpg,10.0,2
2006_02101sep2_t06a.jpg,12.0,2
2006_02101sep2_t06b.jpg,12.0,2
2006_02101sep2_t07a.jpg,11.0,2
2006_02101sep2_t07b.jpg,11.0,2
2006_02101sep2_t08a.jpg,10.0,2
2006_02101sep2_t08b.jpg,10.0,2
2006_02101sep2_t09a.jpg,10.0,2
2006_02101sep2_t09b.jpg,10.0,2
2006_02103sep1_t01a.jpg,7.0,2
2006_02103sep1_t01b.jpg,7.0,2
2006_02103sep1_t02.jpg,9.0,1
2006_02104sep1_t01a.jpg,7.0,2
2006_02104sep1_t01b.jpg,7.0,2
2006_02104sep1_t02a.jpg,9.0,2
2006_02104sep1_t02b.jpg,9.0,2
2006_02104sep2_t01a.jpg,8.0,2
2006_02104sep2_t01b.jpg,8.0,2
2006_02104sep2_t02a.jpg,8.0,2
2006_02104sep2_t02b.jpg,8.0,2
2006_02104sep2_t03b.jpg,6.0,2
2006_02106sep1_t01a.jpg,9.0,2
2006_02106sep1_t01b.jpg,9.0,2
2006_02110sep1_t01a.jpg,7.0,2
2006_02110sep1_t01b.jpg,7.0,2
2006_02110sep1_t02a.jpg,7.0,2
2006_02110sep1_t02b.jpg,7.0,2
2006_02110sep2_t01.jpg,9.0,1
2006_02110sep2_t02a.jpg,7.0,2
2006_02110sep2_t02b.jpg,7.0,2
2006_02111sep1_t01a.jpg,10.0,2
2006_02111sep1_t01b.jpg,10.0,2
2006_02120sep1_t01a.jpg,9.0,2
2006_02120sep1_t01b.jpg,9.0,2
2006_02120sep1_t02.jpg,8.0,1
2006_02120sep1_t03a.jpg,14.0,2
2006_02120sep1_t03b.jpg,14.0,2
2006_02122sep1_t01a.jpg,8.0,2
2006_02122sep1_t01b.jpg,8.0,2
2006_02122sep1_t02a.jpg,5.0,2
2006_02122sep1_t02b.jpg,5.0,2
2006_02122sep2_t01a.jpg,8.0,2
2006_02122sep2_t01b.jpg,8.0,2
2006_02122sep2_t02a.jpg,8.0,2
2006_02122sep2_t02b.jpg,8.0,2
2006_02122sep2_t03a.jpg,9.0,2
2006_02122sep2_t03b.jpg,9.0,2
2006_02122sep2_t04a.jpg,8.0,2
2006_02122sep2_t04b.jpg,8.0,2
2006_02122sep2_t05a.jpg,9.0,2
2006_02122sep2_t05b.jpg,9.0,2
2006_02122sep2_t06a.jpg,9.0,2
2006_02122sep2_t06b.jpg,9.0,2
2006_02135sep1_t01a.jpg,12.0,2
2006_02135sep1_t01b.jpg,12.0,2
2006_02135sep1_t02a.jpg,3.0,2
2006_02135sep1_t02b.jpg,3.0,2
2006_02135sep1_t03a.jpg,4.0,2
2006_02135sep1_t03b.jpg,4.0,2
2006_02135sep1_t04a.jpg,3.0,2
2006_02135sep1_t04b.jpg,3.0,2
2006_02135sep1_t06a.jpg,3.0,2
2006_02135sep1_t06b.jpg,3.0,2
2006_02135sep2_t01a.jpg,7.0,2
2006_02135sep2_t01b.jpg,7.0,2
