img,age,readable
2013_0854jun1_01t.jpg,11.0,1
2013_0854jun1_02t.jpg,9.0,1
2013_0854jun1_03t.jpg,13.0,1
2013_0854jun1_04ta.jpg,10.0,2
2013_0854jun1_04tb.jpg,10.0,2
2013_0854jun1_05ta.jpg,16.0,2
2013_0854jun1_05tb.jpg,16.0,2
2013_0854jun1_06ta.jpg,13.0,2
2013_0854jun1_06tb.jpg,13.0,2
2013_0854jun1_07ta.jpg,16.0,2
2013_0854jun1_07tb.jpg,16.0,2
2013_0854jun1_08ta.jpg,16.0,2
2013_0854jun1_08tb.jpg,16.0,2
2013_0854jun1_09t.jpg,15.0,1
2013_0854jun1_10t.jpg,16.0,1
2013_0854jun1_11ta.jpg,16.0,2
2013_0854jun1_11tb.jpg,16.0,2
2013_0854jun1_12ta.jpg,17.0,2
2013_0854jun1_12tb.jpg,17.0,2
2013_0854jun1_13ta.jpg,12.0,2
2013_0854jun1_13tb.jpg,12.0,2
2013_0854jun1_14ta.jpg,21.0,2
2013_0854jun1_14tb.jpg,21.0,2
2013_0854jun1_15ta.jpg,18.0,2
2013_0854jun1_15tb.jpg,18.0,2
2013_0854jun1_16ta.jpg,19.0,2
2013_0854jun1_16tb.jpg,19.0,2
2013_0854jun1_17ta.jpg,18.0,2
2013_0854jun1_17tb.jpg,18.0,2
2013_0854jun1_18ta.jpg,24.0,2
2013_0854jun1_18tb.jpg,24.0,2
2013_0854jun1_19ta.jpg,21.0,2
2013_0854jun1_19tb.jpg,21.0,2
2013_0854jun1_20ta.jpg,15.0,2
2013_0854jun1_20tb.jpg,15.0,2
2013_0854jun1_21ta.jpg,14.0,2
2013_0854jun1_21tb.jpg,14.0,2
2013_0854jun1_22ta.jpg,20.0,2
2013_0854jun1_22tb.jpg,20.0,2
2013_0854jun1_23ta.jpg,15.0,2
2013_0854jun1_23tb.jpg,15.0,2
2013_0854jun1_24t.jpg,16.0,1
2013_0854jun1_25ta.jpg,18.0,2
2013_0854jun1_25tb.jpg,18.0,2
2013_0854jun1_26ta.jpg,17.0,2
2013_0854jun1_26tb.jpg,17.0,2
2013_0854jun1_27t.jpg,17.0,1
2013_0854jun1_28ta.jpg,16.0,2
2013_0854jun1_28tb.jpg,16.0,2
2013_0854jun1_29ta.jpg,23.0,2
2013_0854jun1_29tb.jpg,23.0,2
2013_0854jun1_30ta.jpg,24.0,2
2013_0854jun1_30tb.jpg,24.0,2
2013_0977jun1_02ta.jpg,13.0,2
2013_0977jun1_02tb.jpg,13.0,2
2013_0977jun1_03ta.jpg,21.0,2
2013_0977jun1_03tb.jpg,21.0,2
2013_0977jun1_04ta.jpg,19.0,2
2013_0977jun1_04tb.jpg,19.0,2
2013_0977jun1_06ta.jpg,20.0,2
2013_0977jun1_06tb.jpg,20.0,2
2013_0977jun1_08ta.jpg,19.0,2
2013_0977jun1_08tb.jpg,19.0,2
2013_0977jun1_09ta.jpg,22.0,2
2013_0977jun1_09tb.jpg,22.0,2
2013_0977jun1_10ta.jpg,14.0,2
2013_0977jun1_10tb.jpg,14.0,2
2013_0977jun1_11ta.jpg,14.0,2
2013_0977jun1_11tb.jpg,14.0,2
2013_0977jun1_12ta.jpg,15.0,2
2013_0977jun1_12tb.jpg,15.0,2
2013_0977jun1_14ta.jpg,18.0,2
2013_0977jun1_14tb.jpg,18.0,2
2013_0977jun1_15ta.jpg,17.0,2
2013_0977jun1_15tb.jpg,17.0,2
2013_0977jun1_16ta.jpg,17.0,2
2013_0977jun1_16tb.jpg,17.0,2
2013_0977jun1_17ta.jpg,19.0,2
2013_0977jun1_17tb.jpg,19.0,2
2013_0977jun1_18ta.jpg,14.0,2
2013_0977jun1_18tb.jpg,14.0,2
2013_0977jun1_19ta.jpg,26.0,2
2013_0977jun1_19tb.jpg,26.0,2
2013_0977jun1_20ta.jpg,18.0,2
2013_0977jun1_20tb.jpg,18.0,2
2013_0977jun1_21ta.jpg,18.0,2
2013_0977jun1_21tb.jpg,18.0,2
2013_0977jun1_22ta.jpg,19.0,2
2013_0977jun1_22tb.jpg,19.0,2
2013_0977jun1_24ta.jpg,16.0,2
2013_0977jun1_24tb.jpg,16.0,2
2013_0977jun1_25ta.jpg,18.0,2
2013_0977jun1_25tb.jpg,18.0,2
2013_0977jun1_27ta.jpg,20.0,2
2013_0977jun1_27tb.jpg,20.0,2
2013_0977jun1_29ta.jpg,18.0,2
2013_0977jun1_29tb.jpg,18.0,2
2013_0977jun2_26ta.jpg,7.0,2
2013_0977jun2_26tb.jpg,7.0,2
2013_0977jun2_28ta.jpg,8.0,2
2013_0977jun2_28tb.jpg,8.0,2
2013_0978jun1_01t.jpg,13.0,1
2013_0978jun1_02ta.jpg,23.0,2
2013_0978jun1_02tb.jpg,23.0,2
2013_0978jun1_03t.jpg,13.0,1
2013_0978jun1_04t.jpg,15.0,1
2013_0978jun1_05ta.jpg,11.0,2
2013_0978jun1_05tb.jpg,11.0,2
2013_0978jun1_06ta.jpg,18.0,2
2013_0978jun1_06tb.jpg,18.0,2
2013_0978jun1_07t.jpg,14.0,1
2013_0978jun1_08ta.jpg,14.0,2
2013_0978jun1_08tb.jpg,14.0,2
2013_0978jun1_10t.jpg,14.0,1
2013_0978jun1_12ta.jpg,15.0,2
2013_0978jun1_12tb.jpg,15.0,2
2013_0978jun1_13ta.jpg,15.0,2
2013_0978jun1_13tb.jpg,15.0,2
2013_0978jun1_14t.jpg,17.0,1
2013_0978jun1_15ta.jpg,18.0,2
2013_0978jun1_15tb.jpg,18.0,2
2013_0978jun1_16ta.jpg,18.0,2
2013_0978jun1_16tb.jpg,18.0,2
2013_0978jun1_17t.jpg,11.0,1
2013_0978jun1_18ta.jpg,18.0,2
2013_0978jun1_18tb.jpg,18.0,2
2013_0978jun1_19ta.jpg,17.0,2
2013_0978jun1_19tb.jpg,17.0,2
2013_0978jun1_21t.jpg,18.0,1
2013_0978jun1_22t.jpg,17.0,1
2013_0978jun1_23ta.jpg,10.0,2
2013_0978jun1_23tb.jpg,10.0,2
2013_0978jun1_25t.jpg,17.0,1
2013_0978jun1_27ta.jpg,15.0,2
2013_0978jun1_27tb.jpg,15.0,2
2013_0978jun1_28ta.jpg,18.0,2
2013_0978jun1_28tb.jpg,18.0,2
2013_0978jun1_30ta.jpg,16.0,2
2013_0978jun1_30tb.jpg,16.0,2
2013_0978jun2_09ta.jpg,14.0,2
2013_0978jun2_09tb.jpg,14.0,2
2013_1048jun1_02ta.jpg,24.0,2
